X: 872	Y: 575	Tick: 0
X: 921	Y: 553	Tick: 1
X: 920	Y: 551	Tick: 6
X: 916	Y: 550	Tick: 9
X: 910	Y: 549	Tick: 26
X: 901	Y: 548	Tick: 43
X: 724	Y: 483	Tick: 44
X: 698	Y: 472	Tick: 45
X: 691	Y: 469	Tick: 46
X: 683	Y: 465	Tick: 47
X: 677	Y: 463	Tick: 48
X: 676	Y: 461	Tick: 77
X: 755	Y: 251	Tick: 78
X: 813	Y: 145	Tick: 79
X: 817	Y: 141	Tick: 80
X: 821	Y: 135	Tick: 84
X: 825	Y: 129	Tick: 87
X: 829	Y: 121	Tick: 90
X: 837	Y: 113	Tick: 93
X: 868	Y: 69	Tick: 96
X: 888	Y: 45	Tick: 97
X: 893	Y: 40	Tick: 98
X: 896	Y: 37	Tick: 100
X: 900	Y: 34	Tick: 103
X: 901	Y: 32	Tick: 106
X: 904	Y: 31	Tick: 109
X: 906	Y: 30	Tick: 112
X: 910	Y: 29	Tick: 119
X: 911	Y: 27	Tick: 122
X: 916	Y: 25	Tick: 127
X: 922	Y: 24	Tick: 130
X: 924	Y: 23	Tick: 131
X: 933	Y: 22	Tick: 135
X: 972	Y: 40	Tick: 139
X: 983	Y: 45	Tick: 140
